CMDLINE /home/currychen/anaconda3/envs/Safebench/bin/python scripts/run.py --agent_cfg expert.yaml --scenario_cfg ppo_train.yaml --mode train_scenario
MEM 0.640625 1703591432.6576
MEM 34.203125 1703591432.7577
MEM 106.007812 1703591432.8579
MEM 148.480469 1703591432.9582
MEM 215.195312 1703591433.0584
MEM 235.324219 1703591433.1586
MEM 245.500000 1703591433.2588
MEM 255.980469 1703591433.3590
MEM 270.109375 1703591433.4592
MEM 296.906250 1703591433.5594
MEM 329.421875 1703591433.6595
MEM 361.625000 1703591433.7597
MEM 385.980469 1703591433.8599
MEM 399.761719 1703591433.9601
MEM 412.585938 1703591434.0602
MEM 426.890625 1703591434.1604
MEM 433.312500 1703591434.2606
MEM 516.285156 1703591434.3608
MEM 522.289062 1703591434.4610
MEM 545.917969 1703591434.5612
MEM 562.371094 1703591434.6613
MEM 745.136719 1703591434.7616
MEM 1024.773438 1703591434.8618
MEM 1291.871094 1703591434.9620
MEM 1530.695312 1703591435.0621
MEM 1721.824219 1703591435.1623
MEM 1722.480469 1703591435.2627
MEM 1722.480469 1703591435.3630
MEM 1722.480469 1703591435.4634
MEM 1722.480469 1703591435.5638
MEM 1722.480469 1703591435.6640
MEM 1722.480469 1703591435.7642
MEM 1722.480469 1703591435.8647
MEM 1722.480469 1703591435.9650
MEM 1722.480469 1703591436.0653
MEM 1722.480469 1703591436.1655
MEM 1722.480469 1703591436.2658
MEM 1722.480469 1703591436.3661
MEM 1722.480469 1703591436.4663
MEM 1722.480469 1703591436.5666
MEM 1722.480469 1703591436.6669
MEM 1722.480469 1703591436.7672
MEM 1722.480469 1703591436.8674
MEM 1722.480469 1703591436.9675
MEM 1722.480469 1703591437.0677
MEM 1722.480469 1703591437.1678
MEM 1722.480469 1703591437.2680
MEM 1722.480469 1703591437.3681
MEM 1722.480469 1703591437.4682
MEM 1722.480469 1703591437.5684
MEM 1722.480469 1703591437.6685
MEM 1722.480469 1703591437.7689
MEM 1759.476562 1703591437.8691
MEM 1790.933594 1703591437.9693
MEM 1808.722656 1703591438.0695
MEM 1784.718750 1703591438.1696
MEM 1788.644531 1703591438.2698
MEM 1793.785156 1703591438.3700
MEM 1786.632812 1703591438.4702
MEM 1802.097656 1703591438.5703
MEM 1799.699219 1703591438.6705
MEM 1813.332031 1703591438.7707
MEM 1787.082031 1703591438.8709
MEM 1796.359375 1703591438.9710
MEM 1805.976562 1703591439.0712
MEM 1787.695312 1703591439.1714
MEM 1787.875000 1703591439.2715
MEM 1803.082031 1703591439.3717
MEM 1792.324219 1703591439.4719
MEM 1787.917969 1703591439.5720
MEM 1800.804688 1703591439.6722
MEM 1811.550781 1703591439.7724
MEM 1788.570312 1703591439.8725
MEM 1790.402344 1703591439.9728
MEM 1808.707031 1703591440.0730
MEM 1800.285156 1703591440.1732
MEM 1788.468750 1703591440.2734
MEM 1810.800781 1703591440.3736
MEM 1814.152344 1703591440.4738
MEM 1791.855469 1703591440.5740
MEM 1795.156250 1703591440.6742
MEM 1813.460938 1703591440.7744
MEM 1810.027344 1703591440.8745
MEM 1789.148438 1703591440.9747
MEM 1789.402344 1703591441.0749
MEM 1789.507812 1703591441.1750
MEM 1794.371094 1703591441.2752
MEM 1802.964844 1703591441.3753
MEM 1789.949219 1703591441.4755
MEM 1813.664062 1703591441.5756
MEM 1794.660156 1703591441.6758
MEM 1794.820312 1703591441.7760
MEM 1790.718750 1703591441.8762
MEM 1802.316406 1703591441.9764
MEM 1806.535156 1703591442.0766
MEM 1790.226562 1703591442.1767
MEM 1790.460938 1703591442.2769
MEM 1799.480469 1703591442.3771
MEM 1805.976562 1703591442.4774
MEM 1790.773438 1703591442.5776
MEM 1790.957031 1703591442.6779
MEM 1807.984375 1703591442.7781
MEM 1790.640625 1703591442.8784
MEM 1790.738281 1703591442.9786
MEM 1806.511719 1703591443.0788
MEM 1802.644531 1703591443.1790
MEM 1791.320312 1703591443.2792
MEM 1813.472656 1703591443.3794
MEM 1812.863281 1703591443.4797
MEM 1794.652344 1703591443.5798
MEM 1791.804688 1703591443.6800
MEM 1807.527344 1703591443.7803
MEM 1812.691406 1703591443.8805
MEM 1791.820312 1703591443.9806
MEM 1793.804688 1703591444.0808
MEM 1813.656250 1703591444.1810
MEM 1801.335938 1703591444.2811
MEM 1794.906250 1703591444.3813
MEM 1812.179688 1703591444.4815
MEM 1792.242188 1703591444.5816
MEM 1793.011719 1703591444.6818
MEM 1800.660156 1703591444.7819
MEM 1792.613281 1703591444.8822
MEM 1811.468750 1703591444.9824
MEM 1794.890625 1703591445.0826
MEM 1792.312500 1703591445.1828
MEM 1791.835938 1703591445.2830
MEM 1799.824219 1703591445.3832
MEM 1808.328125 1703591445.4834
MEM 1792.531250 1703591445.5836
MEM 1792.777344 1703591445.6838
MEM 1803.085938 1703591445.7839
MEM 1796.976562 1703591445.8841
MEM 1792.320312 1703591445.9843
MEM 1805.722656 1703591446.0844
MEM 1814.507812 1703591446.1846
MEM 1792.082031 1703591446.2847
MEM 1792.480469 1703591446.3849
MEM 1813.636719 1703591446.4851
MEM 1798.367188 1703591446.5852
MEM 1797.203125 1703591446.6854
MEM 1812.414062 1703591446.7856
MEM 1792.832031 1703591446.8857
MEM 1792.832031 1703591446.9859
MEM 1797.503906 1703591447.0862
MEM 1792.914062 1703591447.1864
MEM 1808.378906 1703591447.2866
MEM 1803.398438 1703591447.3868
MEM 1793.093750 1703591447.4870
MEM 1793.363281 1703591447.5872
MEM 1803.324219 1703591447.6874
MEM 1803.222656 1703591447.7875
